t,direccion,modelo,t_ny,hora_ny
2025-10-27 20:28:00+00:00,BUY,MEC-A,2025-10-27 16:28:00-04:00,16
2025-10-27 20:29:00+00:00,BUY,MEC-A,2025-10-27 16:29:00-04:00,16
2025-10-27 20:34:00+00:00,BUY,MEC-A,2025-10-27 16:34:00-04:00,16
2025-10-27 20:36:00+00:00,SELL,MEC-A,2025-10-27 16:36:00-04:00,16
2025-10-27 20:37:00+00:00,SELL,MEC-A,2025-10-27 16:37:00-04:00,16
2025-10-27 20:40:00+00:00,SELL,MEC-A,2025-10-27 16:40:00-04:00,16
2025-10-27 20:43:00+00:00,SELL,MEC-A,2025-10-27 16:43:00-04:00,16
2025-10-27 20:44:00+00:00,SELL,MEC-A,2025-10-27 16:44:00-04:00,16
2025-10-27 20:49:00+00:00,SELL,MEC-A,2025-10-27 16:49:00-04:00,16
2025-10-27 20:50:00+00:00,SELL,MEC-A,2025-10-27 16:50:00-04:00,16
2025-10-27 20:51:00+00:00,SELL,MEC-A,2025-10-27 16:51:00-04:00,16
2025-10-27 20:54:00+00:00,SELL,MEC-A,2025-10-27 16:54:00-04:00,16
2025-10-27 20:58:00+00:00,SELL,MEC-A,2025-10-27 16:58:00-04:00,16
2025-10-27 23:17:00+00:00,BUY,MEC-A,2025-10-27 19:17:00-04:00,19
2025-10-27 23:19:00+00:00,BUY,MEC-A,2025-10-27 19:19:00-04:00,19
2025-10-27 23:21:00+00:00,BUY,MEC-A,2025-10-27 19:21:00-04:00,19
2025-10-27 23:24:00+00:00,BUY,MEC-A,2025-10-27 19:24:00-04:00,19
2025-10-27 23:27:00+00:00,BUY,MEC-A,2025-10-27 19:27:00-04:00,19
2025-10-27 23:29:00+00:00,BUY,MEC-A,2025-10-27 19:29:00-04:00,19
2025-10-27 23:30:00+00:00,BUY,MEC-A,2025-10-27 19:30:00-04:00,19
2025-10-27 23:31:00+00:00,BUY,MEC-A,2025-10-27 19:31:00-04:00,19
2025-10-27 23:33:00+00:00,BUY,MEC-A,2025-10-27 19:33:00-04:00,19
2025-10-27 23:37:00+00:00,BUY,MEC-A,2025-10-27 19:37:00-04:00,19
2025-10-27 23:39:00+00:00,BUY,MEC-A,2025-10-27 19:39:00-04:00,19
2025-10-27 23:45:00+00:00,SELL,MEC-A,2025-10-27 19:45:00-04:00,19
2025-10-27 23:46:00+00:00,SELL,MEC-A,2025-10-27 19:46:00-04:00,19
2025-10-27 23:55:00+00:00,SELL,MEC-A,2025-10-27 19:55:00-04:00,19
2025-10-27 23:57:00+00:00,SELL,MEC-A,2025-10-27 19:57:00-04:00,19
2025-10-28 00:00:00+00:00,SELL,MEC-A,2025-10-27 20:00:00-04:00,20
2025-10-28 00:02:00+00:00,SELL,MEC-A,2025-10-27 20:02:00-04:00,20
2025-10-28 00:05:00+00:00,SELL,MEC-A,2025-10-27 20:05:00-04:00,20
2025-10-28 00:09:00+00:00,SELL,MEC-A,2025-10-27 20:09:00-04:00,20
2025-10-28 00:13:00+00:00,SELL,MEC-A,2025-10-27 20:13:00-04:00,20
2025-10-28 00:14:00+00:00,SELL,MEC-A,2025-10-27 20:14:00-04:00,20
2025-10-28 00:16:00+00:00,SELL,MEC-A,2025-10-27 20:16:00-04:00,20
2025-10-28 00:18:00+00:00,SELL,MEC-A,2025-10-27 20:18:00-04:00,20
2025-10-28 00:19:00+00:00,SELL,MEC-A,2025-10-27 20:19:00-04:00,20
2025-10-28 00:20:00+00:00,SELL,MEC-A,2025-10-27 20:20:00-04:00,20
2025-10-28 00:23:00+00:00,SELL,MEC-A,2025-10-27 20:23:00-04:00,20
