t_entrada,R,direccion,t_ny,hora_ny
2025-11-07 17:22:00+00:00,-1.0,-1,2025-11-07 12:22:00-05:00,12
2025-11-07 17:55:00+00:00,0.9,1,2025-11-07 12:55:00-05:00,12
2025-11-07 18:00:00+00:00,-1.0,1,2025-11-07 13:00:00-05:00,13
2025-11-10 05:13:00+00:00,-1.0,-1,2025-11-10 00:13:00-05:00,0
2025-11-10 05:22:00+00:00,0.9,1,2025-11-10 00:22:00-05:00,0
2025-11-10 05:30:00+00:00,0.9,1,2025-11-10 00:30:00-05:00,0
2025-11-10 05:54:00+00:00,0.9,1,2025-11-10 00:54:00-05:00,0
2025-11-10 06:31:00+00:00,0.9,1,2025-11-10 01:31:00-05:00,1
2025-11-10 06:40:00+00:00,-1.0,1,2025-11-10 01:40:00-05:00,1
2025-11-10 06:49:00+00:00,0.9,1,2025-11-10 01:49:00-05:00,1
2025-11-10 07:08:00+00:00,0.9,1,2025-11-10 02:08:00-05:00,2
2025-11-10 07:11:00+00:00,-1.0,1,2025-11-10 02:11:00-05:00,2
2025-11-10 07:21:00+00:00,-1.0,-1,2025-11-10 02:21:00-05:00,2
2025-11-10 08:06:00+00:00,-1.0,1,2025-11-10 03:06:00-05:00,3
2025-11-10 09:21:00+00:00,-1.0,-1,2025-11-10 04:21:00-05:00,4
2025-11-10 09:34:00+00:00,0.9,1,2025-11-10 04:34:00-05:00,4
2025-11-10 12:21:00+00:00,0.9,1,2025-11-10 07:21:00-05:00,7
2025-11-10 13:02:00+00:00,-1.0,1,2025-11-10 08:02:00-05:00,8
2025-11-10 13:47:00+00:00,0.9,-1,2025-11-10 08:47:00-05:00,8
2025-11-10 14:16:00+00:00,0.9,-1,2025-11-10 09:16:00-05:00,9
2025-11-10 14:43:00+00:00,-1.0,-1,2025-11-10 09:43:00-05:00,9
2025-11-10 14:45:00+00:00,0.9,1,2025-11-10 09:45:00-05:00,9
2025-11-10 15:07:00+00:00,-1.0,1,2025-11-10 10:07:00-05:00,10
2025-11-10 15:43:00+00:00,0.9,-1,2025-11-10 10:43:00-05:00,10
2025-11-10 15:48:00+00:00,-1.0,-1,2025-11-10 10:48:00-05:00,10
2025-11-10 16:08:00+00:00,0.9,1,2025-11-10 11:08:00-05:00,11
2025-11-10 17:00:00+00:00,0.9,1,2025-11-10 12:00:00-05:00,12
2025-11-10 17:59:00+00:00,0.9,1,2025-11-10 12:59:00-05:00,12
2025-11-10 23:09:00+00:00,-1.0,1,2025-11-10 18:09:00-05:00,18
2025-11-10 23:31:00+00:00,-1.0,-1,2025-11-10 18:31:00-05:00,18
2025-11-10 23:46:00+00:00,-1.0,1,2025-11-10 18:46:00-05:00,18
2025-11-10 23:56:00+00:00,-1.0,-1,2025-11-10 18:56:00-05:00,18
2025-11-11 00:26:00+00:00,0.9,1,2025-11-10 19:26:00-05:00,19
2025-11-11 00:32:00+00:00,0.9,1,2025-11-10 19:32:00-05:00,19
2025-11-11 01:15:00+00:00,0.9,1,2025-11-10 20:15:00-05:00,20
2025-11-11 03:10:00+00:00,0.9,1,2025-11-10 22:10:00-05:00,22
2025-11-11 03:34:00+00:00,-1.0,1,2025-11-10 22:34:00-05:00,22
2025-11-11 04:12:00+00:00,0.9,-1,2025-11-10 23:12:00-05:00,23
2025-11-11 05:06:00+00:00,0.9,-1,2025-11-11 00:06:00-05:00,0
2025-11-11 05:34:00+00:00,0.9,-1,2025-11-11 00:34:00-05:00,0
2025-11-11 05:36:00+00:00,-1.0,-1,2025-11-11 00:36:00-05:00,0
2025-11-11 06:20:00+00:00,-1.0,1,2025-11-11 01:20:00-05:00,1
2025-11-11 06:34:00+00:00,-1.0,-1,2025-11-11 01:34:00-05:00,1
2025-11-11 09:02:00+00:00,0.9,1,2025-11-11 04:02:00-05:00,4
2025-11-11 09:14:00+00:00,-1.0,1,2025-11-11 04:14:00-05:00,4
2025-11-11 15:11:00+00:00,0.9,-1,2025-11-11 10:11:00-05:00,10
2025-11-11 15:15:00+00:00,0.9,-1,2025-11-11 10:15:00-05:00,10
2025-11-11 15:19:00+00:00,0.9,-1,2025-11-11 10:19:00-05:00,10
2025-11-11 15:22:00+00:00,-1.0,-1,2025-11-11 10:22:00-05:00,10
2025-11-11 19:46:00+00:00,0.9,1,2025-11-11 14:46:00-05:00,14
2025-11-11 20:48:00+00:00,0.9,1,2025-11-11 15:48:00-05:00,15
2025-11-11 23:18:00+00:00,0.9,1,2025-11-11 18:18:00-05:00,18
2025-11-11 23:39:00+00:00,-1.0,1,2025-11-11 18:39:00-05:00,18
2025-11-12 00:51:00+00:00,0.9,-1,2025-11-11 19:51:00-05:00,19
2025-11-12 01:08:00+00:00,0.9,-1,2025-11-11 20:08:00-05:00,20
2025-11-12 01:25:00+00:00,0.9,-1,2025-11-11 20:25:00-05:00,20
2025-11-12 02:41:00+00:00,0.9,-1,2025-11-11 21:41:00-05:00,21
2025-11-12 03:59:00+00:00,0.9,-1,2025-11-11 22:59:00-05:00,22
2025-11-12 05:30:00+00:00,-1.0,-1,2025-11-12 00:30:00-05:00,0
2025-11-12 06:17:00+00:00,0.9,1,2025-11-12 01:17:00-05:00,1
2025-11-12 06:25:00+00:00,0.9,1,2025-11-12 01:25:00-05:00,1
2025-11-12 07:10:00+00:00,-1.0,1,2025-11-12 02:10:00-05:00,2
2025-11-12 07:42:00+00:00,-1.0,-1,2025-11-12 02:42:00-05:00,2
2025-11-12 08:22:00+00:00,0.9,1,2025-11-12 03:22:00-05:00,3
2025-11-12 15:03:00+00:00,0.9,1,2025-11-12 10:03:00-05:00,10
2025-11-12 15:10:00+00:00,0.9,1,2025-11-12 10:10:00-05:00,10
2025-11-12 15:16:00+00:00,0.9,1,2025-11-12 10:16:00-05:00,10
2025-11-12 16:58:00+00:00,0.9,1,2025-11-12 11:58:00-05:00,11
2025-11-12 17:40:00+00:00,-1.0,1,2025-11-12 12:40:00-05:00,12
2025-11-12 18:03:00+00:00,-1.0,-1,2025-11-12 13:03:00-05:00,13
2025-11-12 18:24:00+00:00,0.9,1,2025-11-12 13:24:00-05:00,13
2025-11-12 18:27:00+00:00,-1.0,1,2025-11-12 13:27:00-05:00,13
2025-11-12 19:14:00+00:00,0.9,-1,2025-11-12 14:14:00-05:00,14
2025-11-13 01:17:00+00:00,-1.0,-1,2025-11-12 20:17:00-05:00,20
2025-11-13 04:02:00+00:00,0.9,1,2025-11-12 23:02:00-05:00,23
2025-11-13 08:19:00+00:00,-1.0,1,2025-11-13 03:19:00-05:00,3
2025-11-14 13:22:00+00:00,0.9,-1,2025-11-14 08:22:00-05:00,8
2025-11-14 13:26:00+00:00,0.9,-1,2025-11-14 08:26:00-05:00,8
2025-11-14 14:33:00+00:00,-1.0,-1,2025-11-14 09:33:00-05:00,9
2025-11-14 14:37:00+00:00,0.9,1,2025-11-14 09:37:00-05:00,9
2025-11-14 15:47:00+00:00,0.9,1,2025-11-14 10:47:00-05:00,10
2025-11-14 16:22:00+00:00,-1.0,1,2025-11-14 11:22:00-05:00,11
2025-11-14 18:32:00+00:00,-1.0,1,2025-11-14 13:32:00-05:00,13
2025-11-14 20:21:00+00:00,-1.0,-1,2025-11-14 15:21:00-05:00,15
2025-11-17 05:14:00+00:00,0.9,-1,2025-11-17 00:14:00-05:00,0
2025-11-17 05:24:00+00:00,0.9,-1,2025-11-17 00:24:00-05:00,0
2025-11-17 05:32:00+00:00,-1.0,-1,2025-11-17 00:32:00-05:00,0
2025-11-17 07:27:00+00:00,0.9,1,2025-11-17 02:27:00-05:00,2
2025-11-17 07:55:00+00:00,-1.0,1,2025-11-17 02:55:00-05:00,2
