time,open,high,low,close,n_ticks
2026-08-18 13:22:00+00:00,4392.25,4392.415,4388.9349999999995,4389.3099999999995,256
2026-08-18 13:23:00+00:00,4389.205,4390.23,4388.24,4389.295,297
2026-08-18 13:24:00+00:00,4389.315,4390.4,4388.975,4389.79,248
2026-08-18 13:25:00+00:00,4389.870000000001,4391.385,4388.37,4391.135,328
2026-08-18 13:26:00+00:00,4391.0599999999995,4391.0599999999995,4388.605,4389.405000000001,286
2026-08-18 13:27:00+00:00,4389.375,4390.455,4388.54,4390.355,291
2026-08-18 13:28:00+00:00,4390.29,4392.48,4390.235,4391.21,271
2026-08-18 13:29:00+00:00,4391.18,4391.97,4388.65,4389.05,317
2026-08-18 13:30:00+00:00,4389.3150000000005,4390.43,4376.754,4384.275,629
2026-08-18 13:31:00+00:00,4384.344999999999,4393.765,4384.344999999999,4393.0650000000005,502
2026-08-18 13:32:00+00:00,4393.04,4395.97,4392.07,4394.755,473
2026-08-18 13:33:00+00:00,4394.645,4397.015,4391.5,4393.9349999999995,528
2026-08-18 13:34:00+00:00,4393.825000000001,4399.135,4393.21,4397.01,529
2026-08-18 13:35:00+00:00,4396.995,4400.129999999999,4395.475,4397.625,493
2026-08-18 13:36:00+00:00,4397.52,4402.735000000001,4396.865,4399.485000000001,511
2026-08-18 13:37:00+00:00,4399.635,4401.59,4399.055,4400.395,503
2026-08-18 13:38:00+00:00,4400.38,4403.335,4399.545,4402.35,462
2026-08-18 13:39:00+00:00,4402.299999999999,4403.455,4400.6,4403.095,499
2026-08-18 13:40:00+00:00,4403.014999999999,4403.115,4401.1,4401.5650000000005,470
2026-08-18 13:41:00+00:00,4401.915,4406.58,4400.77,4403.325,507
2026-08-18 13:42:00+00:00,4402.96,4404.96,4401.865,4403.145,486
2026-08-18 13:43:00+00:00,4403.115,4403.6849999999995,4399.639999999999,4403.13,478
2026-08-18 13:44:00+00:00,4403.17,4403.735000000001,4399.965,4401.145,508
2026-08-18 13:45:00+00:00,4401.5,4402.34,4399.91,4400.985000000001,486
2026-08-18 13:46:00+00:00,4400.995000000001,4401.125,4393.105,4393.62,508
2026-08-18 13:47:00+00:00,4393.645,4397.035,4391.52,4396.584999999999,464
2026-08-18 13:48:00+00:00,4396.54,4396.58,4394.43,4394.755,412
2026-08-18 13:49:00+00:00,4394.745000000001,4397.175,4393.99,4395.264999999999,445
2026-08-18 13:50:00+00:00,4395.025,4398.299999999999,4394.625,4397.575,465
2026-08-18 13:51:00+00:00,4397.91,4398.014999999999,4390.385,4390.53,479
2026-08-18 13:52:00+00:00,4390.405000000001,4394.13,4390.094999999999,4393.01,441
