dir,fin_idx,resultado,dist_1_antes,dist_2_antes,dist_3_antes,dist_max,largo
-1,1011,continuacion,0.5023134810950235,0.5941041556397619,,0.5941041556397619,2
-1,1016,reversion,0.7519980786998625,0.5274285415343463,0.9325891312285312,0.9325891312285312,4
1,1020,continuacion,0.8372632031507441,1.376811821301839,0.22281274593307845,1.376811821301839,3
1,1024,reversion,0.9386262015954508,1.7243408248762457,0.5639169937251483,1.7243408248762457,3
-1,1028,reversion,0.9015090555242222,0.9833954774506426,,0.9833954774506426,2
1,1040,reversion,0.3861075929677777,1.2508436519075081,1.8647295026005961,1.8647295026005961,11
-1,1043,continuacion,0.1875351199407699,,,0.1875351199407699,1
-1,1046,continuacion,0.05876696083484261,,,0.05876696083484261,1
1,1047,reversion,0.6298272581974287,,,0.6298272581974287,1
-1,1063,continuacion,0.4720131367936687,1.39559942978356,1.7117385689504816,2.545138243467651,16
-1,1065,continuacion,1.093557458798183,,,1.093557458798183,1
-1,1067,continuacion,0.557005567906552,,,0.557005567906552,1
-1,1069,continuacion,0.44297794567324994,,,0.44297794567324994,1
-1,1072,continuacion,0.30068907331384154,,,0.30068907331384154,1
-1,1080,continuacion,0.5474122528983297,,,0.5474122528983297,1
1,1085,reversion,0.2551196324150824,,,0.2551196324150824,1
1,1087,reversion,0.3838502474128485,,,0.3838502474128485,1
1,1089,reversion,0.3268401290763145,,,0.3268401290763145,1
-1,1091,reversion,0.5921771075842813,0.714208471469759,,0.714208471469759,2
1,1097,continuacion,0.6445611456007112,0.8847052426749338,1.8341605224880826,1.8341605224880826,5
1,1120,continuacion,2.3447644875735567,3.308257239779573,1.8117542206830377,3.308257239779573,18
1,1124,continuacion,0.9669464540829648,,,0.9669464540829648,1
1,1128,continuacion,0.7897051998776956,0.9598369112507983,,0.9598369112507983,2
1,1131,continuacion,0.2448602722187107,,,0.2448602722187107,1
1,1136,continuacion,0.6247238111533755,0.8159198166958869,1.2901974122036748,1.2901974122036748,4
-1,1141,reversion,0.8262578255228709,,,0.8262578255228709,1
1,1144,reversion,0.17036018940346626,0.6449054830179904,,0.6449054830179904,2
-1,1149,reversion,0.740630569089199,0.827293672490991,,0.827293672490991,2
-1,1154,reversion,0.5463469875364094,,,0.5463469875364094,1
1,1160,continuacion,1.008873273731491,1.0649349605882539,0.5667817750250181,1.0649349605882539,3
-1,1163,reversion,0.26519579618861083,,,0.26519579618861083,1
1,1167,continuacion,0.2799666261079588,0.5990038706281813,,0.5990038706281813,2
1,1171,continuacion,0.4046457288643542,,,0.4046457288643542,1
1,1178,reversion,0.9963460714522265,0.07462380278835092,0.1972479107590311,1.8254629575707004,6
-1,1180,continuacion,0.38682179756944296,,,0.38682179756944296,1
1,1184,reversion,0.08444003561901839,,,0.08444003561901839,1
-1,1196,reversion,0.9938900713077391,1.0632463268225865,1.13885302912174,1.645449967311259,10
1,1208,reversion,0.6119397551020328,0.8962412891918896,1.3485881479907447,1.726090002040227,11
-1,1211,reversion,0.7139949224720459,0.4782020168009436,,0.7139949224720459,2
1,1220,reversion,1.2490467530904308,1.7901148142275736,1.802766315189593,1.802766315189593,8
1,1222,reversion,0.6029414988999916,,,0.6029414988999916,1
-1,1228,continuacion,0.15900846363072707,0.3566132950521939,0.5267085321761297,0.5267085321761297,3
-1,1230,continuacion,0.03180691779912041,,,0.03180691779912041,1
-1,1233,reversion,0.335673055853492,0.4823016291222356,,0.4823016291222356,2
1,1235,continuacion,0.3148388557086896,,,0.3148388557086896,1
1,1239,reversion,0.7487138306730342,1.4346099133491683,0.9981140477551778,1.4346099133491683,3
-1,1243,continuacion,0.19267280211266732,0.588192481803567,,0.588192481803567,2
1,1244,reversion,0.11923372965942391,,,0.11923372965942391,1
-1,1247,continuacion,0.04393482357581135,,,0.04393482357581135,1
1,1250,reversion,0.45756547640119705,,,0.45756547640119705,1
-1,1255,continuacion,1.1111804553499833,1.0304441198831802,0.11243962493863234,1.1111804553499833,4
-1,1260,reversion,0.6463987458999406,1.2072796718904641,1.1047954136459144,1.2072796718904641,4
1,1264,reversion,0.3969726587545376,1.0318650497284803,,1.0318650497284803,2
-1,1272,reversion,0.37463353638806063,0.4529589146647681,1.2109973289666764,1.2109973289666764,6
1,1276,reversion,1.0480735204426082,1.036011215548664,1.5207856375162982,1.5207856375162982,4
-1,1279,continuacion,0.38790699918328336,0.7123578330912841,,0.7123578330912841,2
-1,1281,continuacion,1.0956611509425627,,,1.0956611509425627,1
-1,1291,reversion,0.1596852256688762,0.7843991886305773,1.0571177198297335,3.145376037785409,9
1,1294,continuacion,0.16168660752911615,0.1587068699047111,,0.16168660752911615,2
1,1298,continuacion,0.22206386886265608,,,0.22206386886265608,1
1,1304,reversion,1.3977554161263912,1.5899490021189322,2.524858394476377,2.524858394476377,5
-1,1322,continuacion,0.822042413033232,1.526707751926164,1.6512340260913048,2.3651886932450985,14
-1,1337,reversion,0.5702322098248216,0.8987408315774967,0.9110554661252027,1.9413152933192204,14
1,1341,continuacion,0.464742284067554,1.0751182203481118,,1.0751182203481118,2
1,1356,continuacion,0.640744205304172,1.1587953817045482,0.6098510600065007,1.8236775387454744,14
-1,1359,reversion,0.7020535389222781,,,0.7020535389222781,1
1,1363,continuacion,1.007567441748589,,,1.007567441748589,1
1,1368,continuacion,0.8945358448597442,1.3281664316546269,1.400166787181959,1.400166787181959,4
1,1374,continuacion,0.5412232583467347,0.8337264279886626,,0.8337264279886626,2
1,1380,reversion,0.6050079836749827,1.1380812263450195,1.3855436594415287,1.3855436594415287,4
-1,1390,reversion,0.9384705636297008,1.1124678158108532,1.5197180039640283,1.7016455383373519,8
1,1401,continuacion,0.8577625553148033,1.2099166936298122,1.4197201849240768,1.6380466915338812,10
1,1405,continuacion,0.6904155018963344,,,0.6904155018963344,1
1,1408,continuacion,0.4518822206548749,0.2046364549091569,,0.4518822206548749,2
1,1414,reversion,1.5614525061805224,1.7713865829885986,1.8978881013350852,1.8978881013350852,5
1,1417,reversion,0.7698123462358981,,,0.7698123462358981,1
-1,1418,continuacion,0.18618396169825618,,,0.18618396169825618,1
-1,1422,continuacion,0.36866515519437854,0.6508550652990754,0.9167429672169985,0.9167429672169985,3
-1,1432,reversion,0.3980952021380252,0.8085189603872933,1.4546739960947814,2.3015763110990117,9
1,1443,continuacion,0.6687159683452961,1.3856011049717152,0.5779394363238086,1.9040591154384454,9
1,1445,continuacion,0.6332892922489352,,,0.6332892922489352,1
1,1449,reversion,1.2813870622504961,1.9735775320889721,1.1582865158187579,1.9735775320889721,3
-1,1453,continuacion,0.49434626902485124,0.5753364196563836,,0.5753364196563836,2
-1,1460,continuacion,0.4788305693375776,0.9687557433699365,1.3685324296044266,1.3747324203913318,6
-1,1464,continuacion,0.20787067289724903,,,0.20787067289724903,1
-1,1473,reversion,0.41507947527216726,0.9364617592277772,1.2757637185247566,1.9972858184512587,8
1,1488,continuacion,1.2630324839836158,1.6865970899735534,1.4445360412665678,1.9597831305195594,13
-1,1491,reversion,0.2835060227062772,,,0.2835060227062772,1
1,1496,continuacion,1.0170717159369393,1.5977046779548094,1.5992383268504606,1.5992383268504606,3
1,1504,continuacion,0.26380088991792494,0.5489618848753353,0.30570364112480236,0.8881864124494191,6
1,1514,reversion,1.6159289554427057,1.9306403974922888,1.4895567500017335,2.2680935107878692,9
-1,1517,continuacion,0.3271266198458555,,,0.3271266198458555,1
-1,1524,continuacion,1.3469358141311256,1.8520313078352446,0.48407928437288356,1.8520313078352446,6
-1,1534,reversion,0.7101780830754663,1.0503348397124526,0.9556095738893381,1.568813254128143,9
1,1540,reversion,0.8864801812541746,1.2712610143371565,0.8044997300224512,1.2712610143371565,4
-1,1550,reversion,0.16606529496452072,0.828573232445946,1.2111912915420842,1.2111912915420842,9
1,1553,continuacion,0.09920829180799388,,,0.09920829180799388,1
-1,1554,reversion,0.7397102469117273,,,0.7397102469117273,1
1,1558,continuacion,0.9326823000845407,,,0.9326823000845407,1
1,1560,continuacion,0.07740845493449222,,,0.07740845493449222,1
1,1564,continuacion,1.6961650536412491,0.0021336730689417763,,1.6961650536412491,2
-1,1565,reversion,0.539986890455586,,,0.539986890455586,1
1,1570,reversion,0.8921272493064173,0.9432048914034074,0.3816181915333524,0.9796136229037132,5
-1,1580,reversion,1.7210065866022157,1.6118230371475712,1.855343334877328,1.855343334877328,7
1,1610,reversion,0.9887886429832632,2.3861828635796245,2.4216781746504976,2.73981703156927,27
-1,1619,reversion,0.9227463051590635,0.848261976221953,,0.9227463051590635,2
1,1624,reversion,1.0315016821526855,1.2286975637100075,,1.2286975637100075,2
-1,1628,continuacion,0.4018568673008067,0.3008142421109101,0.4106827789611059,0.4106827789611059,3
-1,1632,continuacion,1.4534673609348443,0.8675395166129375,,1.4534673609348443,2
1,1636,reversion,0.15062772737559268,,,0.15062772737559268,1
-1,1639,continuacion,0.24406028833740787,0.049964623497510824,,0.24406028833740787,2
1,1640,reversion,0.2500621477730987,,,0.2500621477730987,1
-1,1645,reversion,0.6496371400070418,0.23604850277985354,0.8209835330751567,0.8209835330751567,4
1,1650,reversion,0.700918966302092,2.0802005938088164,2.1116450201029617,2.1116450201029617,4
-1,1652,continuacion,0.6071130775797302,,,0.6071130775797302,1
1,1660,reversion,1.335730196023458,,,1.335730196023458,1
-1,1680,reversion,0.27787755922549134,0.25066364645210376,0.2791674197782492,1.516718732522835,13
1,1683,reversion,0.05593591012059292,0.364362398324798,,0.364362398324798,2
-1,1690,reversion,0.821013167951257,0.670769898256755,0.968472677892832,2.299679052147689,7
1,1693,reversion,0.03984593393673983,0.6666165118689149,0.8268260085652507,0.8268260085652507,3
-1,1697,continuacion,0.5427084246420362,,,0.5427084246420362,1
-1,1718,continuacion,0.48622607476456314,2.053929554470334,1.2364260041137707,2.053929554470334,12
-1,1720,continuacion,0.18660689703540273,,,0.18660689703540273,1
1,1721,reversion,0.2138719750527468,,,0.2138719750527468,1
-1,1732,continuacion,0.8747834098791685,1.0045735771050244,0.6055887604998984,2.017841477530386,10
1,1733,reversion,0.05686886308992435,,,0.05686886308992435,1
-1,1736,continuacion,0.7760489035454398,0.779574598616204,0.5816378785983884,0.779574598616204,3
-1,1743,continuacion,0.3433029277688198,0.7833391768327248,1.081363864897944,1.3436403975532338,6
-1,1751,reversion,0.3875127141948638,1.5194523993368525,1.8779485901789796,2.370918213605891,6
1,1753,continuacion,0.4313245678380408,,,0.4313245678380408,1
-1,1754,reversion,0.4288629232199219,,,0.4288629232199219,1
1,1758,reversion,0.4159898602882875,0.7738490638919288,1.1524437872483242,1.1524437872483242,3
-1,1762,reversion,0.29002718473409506,0.5612171665540349,,0.5612171665540349,2
1,1763,continuacion,0.015146626986110606,,,0.015146626986110606,1
-1,1765,reversion,0.3647046344999269,,,0.3647046344999269,1
1,1768,continuacion,0.4148272159817858,0.8196270775432773,,0.8196270775432773,2
-1,1769,reversion,0.35247211041992693,,,0.35247211041992693,1
1,1770,continuacion,0.18550052601589317,,,0.18550052601589317,1
1,1773,reversion,0.8288646557114591,0.4605431425003838,,0.8288646557114591,2
-1,1775,continuacion,0.0185225682016593,0.4441197048636468,,0.4441197048636468,2
1,1776,reversion,0.06708579309721847,,,0.06708579309721847,1
-1,1777,continuacion,0.6586281107308195,,,0.6586281107308195,1
-1,1780,reversion,0.7723718850697605,0.38176788018065194,,0.7723718850697605,2
1,1783,reversion,0.1600199175627277,0.3316977609552832,,0.3316977609552832,2
-1,1787,reversion,0.3554769536029972,0.6751609005488398,,0.6751609005488398,2
1,1799,reversion,0.785832443844616,0.569131604140845,0.5731450595120421,1.8554005469935346,11
-1,1800,continuacion,0.12224718870989319,,,0.12224718870989319,1
-1,1802,continuacion,1.1764089312976997,,,1.1764089312976997,1
1,1804,reversion,0.4929509969644346,,,0.4929509969644346,1
-1,1812,reversion,0.5765863703266845,1.753630105221209,1.8840660110414207,1.8840660110414207,5
1,1819,continuacion,0.12877368843075476,0.2550336943923254,0.9094085165246768,0.9094085165246768,7
1,1822,continuacion,0.5843893485373088,,,0.5843893485373088,1
1,1831,continuacion,0.5038587684448811,0.8078103255018577,0.6799229498295414,1.747254514812307,7
1,1835,continuacion,1.044384602113533,0.9211901132306219,,1.044384602113533,2
1,1844,continuacion,2.0096307200824164,1.3028635360825531,1.3115659229544563,2.0096307200824164,8
1,1846,continuacion,0.9578156124392462,,,0.9578156124392462,1
1,1854,reversion,0.5116116675927033,0.6909629403917713,0.19622440258252827,0.6909629403917713,6
-1,1858,reversion,0.6283218184693057,0.2238214589579076,0.35275077396259724,0.6283218184693057,4
1,1866,continuacion,0.7417557180339626,0.9032318436741825,1.4373974739211317,2.056031813222685,8
1,1876,reversion,2.323945814650414,2.487085284282441,0.8290256058844252,2.487085284282441,3
1,1879,reversion,0.1692729061725457,,,0.1692729061725457,1
-1,1887,reversion,1.3767412658829838,1.5364717643521326,2.127247436746072,2.2992045132603547,5
-1,1889,reversion,0.6742000272800939,,,0.6742000272800939,1
1,1891,continuacion,0.9774531706528751,,,0.9774531706528751,1
-1,1892,reversion,0.3633835594698742,,,0.3633835594698742,1
1,1893,continuacion,0.3739524792713925,,,0.3739524792713925,1
1,1901,reversion,0.13798222035943916,0.6673840764966263,1.6822664067269788,1.6822664067269788,7
-1,1908,reversion,0.3695466966105719,0.605005292316938,0.6814418463187393,1.1588402925966208,6
1,1911,reversion,1.0937467608947642,0.7569627097483312,,1.0937467608947642,2
-1,1920,reversion,0.3262818709927136,1.1429186835586387,0.9214000911563369,1.6965732276700962,8
1,1922,continuacion,0.697871792548722,,,0.697871792548722,1
1,1924,continuacion,0.3775169666401994,,,0.3775169666401994,1
-1,1926,reversion,1.0172268563246187,,,1.0172268563246187,1
1,1929,continuacion,0.48047023436326813,0.3464994046890998,,0.48047023436326813,2
-1,1930,reversion,0.05097899729582345,,,0.05097899729582345,1
1,1932,continuacion,0.5966411553686315,,,0.5966411553686315,1
1,1935,reversion,1.0158465815894537,0.9945837572719031,,1.0158465815894537,2
-1,1940,reversion,0.920503863827472,1.3140887099218779,1.027865489056898,1.4195628745762365,5
1,1942,continuacion,0.272892783644249,0.5807779009599425,,0.5807779009599425,2
-1,1943,reversion,0.5686522875248633,,,0.5686522875248633,1
1,1944,continuacion,0.042798023092085996,,,0.042798023092085996,1
1,1952,continuacion,0.5146023199965132,2.261930432860543,2.6269901716807555,3.2595100956576744,7
1,1966,reversion,1.194342501922491,1.3981303415685864,1.9630089024786053,3.5822027011591353,13
1,1969,reversion,1.1066810402878762,,,1.1066810402878762,1
-1,1972,reversion,0.03856846408194711,0.07720317752228707,,0.07720317752228707,2
1,1976,continuacion,0.455426130101246,0.44520076450301244,0.18614851008807498,0.5996165586318927,4
1,1981,continuacion,0.586911333712459,0.6726347806089619,0.9131271765246382,0.9131271765246382,3
1,1983,continuacion,0.320664898189981,,,0.320664898189981,1
